step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_teleports;step_time;step_waiting
0;0;627766691;0;1;89;245;16.08;1.13;-1.00;0.00;89;0;0.00;156
0;0;627766730;0;0;103;245;15.18;1.05;-1.00;0.14;103;0;1.00;142
0;0;627766732;0;2;123;245;14.49;0.98;-1.00;0.44;123;0;2.00;122
0;0;627766733;0;3;140;245;13.25;0.89;-1.00;0.75;140;0;3.00;105
0;0;627766734;0;2;149;245;12.31;0.83;-1.00;0.95;149;0;4.00;96
0;0;627766736;0;7;161;245;11.41;0.76;-1.00;1.25;161;0;5.00;84
0;0;627766738;0;7;167;245;10.86;0.73;-1.00;1.42;167;0;6.00;78
0;0;627766739;0;11;176;245;10.30;0.68;-1.00;1.70;176;0;7.00;69
0;0;627766741;0;15;179;246;9.91;0.66;-1.00;1.81;179;0;8.00;67
0;0;627766743;0;18;186;247;9.62;0.64;-1.00;2.08;186;0;9.00;61
0;0;627766746;0;21;190;247;9.35;0.62;-1.00;2.25;190;0;10.00;57
0;0;627766748;0;24;193;248;9.30;0.61;-1.00;2.33;193;0;11.00;55
1;0;627766751;1;28;202;248;9.12;0.60;12.00;2.73;201;0;12.00;46
1;0;627766753;1;34;205;248;9.06;0.59;12.00;2.88;204;0;13.00;43
1;0;627766756;1;39;208;248;9.08;0.59;12.00;3.04;207;0;14.00;40
1;0;627766758;1;42;214;252;8.97;0.58;12.00;3.24;213;0;15.00;38
1;0;627766763;1;42;217;252;8.81;0.57;12.00;3.42;216;0;16.00;35
1;0;627766766;1;47;222;252;8.70;0.56;12.00;3.73;221;0;17.00;30
1;0;627766770;1;52;224;255;8.70;0.55;12.00;3.77;223;0;18.00;31
1;0;627766773;1;58;227;255;8.75;0.55;12.00;3.97;226;0;19.00;28
2;0;627766777;2;59;228;255;8.76;0.56;16.00;4.04;226;0;20.00;27
3;0;627766783;3;65;236;259;8.74;0.55;17.67;4.28;233;0;21.00;23
4;0;627766795;4;66;239;260;8.68;0.55;18.75;4.41;235;0;22.00;21
4;0;627766800;4;69;243;260;8.67;0.55;18.75;4.72;239;0;23.00;17
4;0;627766804;4;71;246;264;8.71;0.55;18.75;4.66;242;0;24.00;18
5;0;627766808;5;75;249;264;8.59;0.54;19.60;4.91;244;0;25.00;15
6;0;627766813;6;79;250;264;8.62;0.54;20.67;4.99;244;0;26.00;14
6;0;627766816;6;81;252;265;8.58;0.53;20.67;5.13;246;0;27.00;13
6;0;627766820;6;88;254;265;8.57;0.53;20.67;5.24;248;0;28.00;11
6;0;627766824;6;90;260;271;8.44;0.52;20.67;5.25;254;0;29.00;11
6;0;627766830;6;94;260;271;8.39;0.52;20.67;5.25;254;0;30.00;11
8;0;627766835;8;99;261;272;8.26;0.51;22.88;5.24;253;0;31.00;11
8;0;627766840;8;99;263;272;8.29;0.51;22.88;5.35;255;0;32.00;9
8;0;627766844;8;104;263;272;8.29;0.51;22.88;5.35;255;0;33.00;9
9;0;627766848;9;109;263;272;8.32;0.52;23.56;5.35;254;0;34.00;9
10;0;627766852;10;111;264;272;8.34;0.52;24.30;5.41;254;0;35.00;8
10;0;627766856;10;116;274;284;8.67;0.54;24.30;5.21;264;0;36.00;10
10;0;627766862;10;118;275;284;8.66;0.54;24.30;5.28;265;0;37.00;9
10;0;627766866;10;121;276;284;8.59;0.53;24.30;5.26;266;0;38.00;8
12;0;627766870;12;123;277;284;8.43;0.52;26.50;5.32;265;0;39.00;7
12;0;627766874;12;124;278;284;8.41;0.52;26.50;5.35;266;0;40.00;6
12;0;627766878;12;126;278;284;8.44;0.52;26.50;5.35;266;0;41.00;6
14;0;627766881;14;129;283;288;8.40;0.52;28.21;5.31;269;0;42.00;5
14;0;627766885;14;133;284;288;8.32;0.51;28.21;5.32;270;0;43.00;4
15;0;627766888;15;136;287;292;8.23;0.51;28.80;5.28;272;0;44.00;5
16;0;627766891;16;136;289;294;8.14;0.50;29.81;5.24;273;0;45.00;5
18;0;627766894;18;141;289;294;7.97;0.49;30.11;5.24;271;0;46.00;5
18;0;627766900;18;138;290;294;7.87;0.49;30.11;5.23;272;0;47.00;4
18;0;627766903;18;142;301;307;7.99;0.49;30.11;5.04;283;0;48.00;6
18;0;627766909;18;145;301;307;7.86;0.49;30.11;5.04;283;0;49.00;6
18;0;627766913;18;146;301;307;7.75;0.48;30.11;5.04;283;0;50.00;6
18;0;627766917;18;147;302;308;7.71;0.48;30.11;5.03;284;0;51.00;6
19;0;627766921;19;148;303;309;7.65;0.48;31.26;5.02;284;0;52.00;6
19;0;627766926;19;149;303;309;7.62;0.47;31.26;5.02;284;0;53.00;6
19;0;627766930;19;150;305;312;7.68;0.48;31.26;4.98;286;0;54.00;7
20;0;627766938;20;154;305;312;7.57;0.47;30.65;4.98;285;0;55.00;7
22;0;627766943;22;142;306;312;7.46;0.46;31.86;4.97;284;0;56.00;6
22;0;627766947;22;140;306;312;7.45;0.46;31.86;4.97;284;0;57.00;6
24;0;627766951;24;138;311;318;7.46;0.46;33.92;4.91;287;0;58.00;7
25;0;627766955;25;140;311;318;7.45;0.46;33.88;4.91;286;0;59.00;7
26;0;627766961;26;142;312;318;7.59;0.47;34.88;4.90;286;0;60.00;6
27;0;627766965;27;143;312;318;7.69;0.47;35.78;4.90;285;0;61.00;6
29;0;627766971;29;149;316;322;7.70;0.47;37.48;4.85;287;0;62.00;6
30;0;627766976;30;150;317;323;7.88;0.48;38.33;4.84;287;0;63.00;6
31;0;627766980;31;149;317;323;7.92;0.48;37.81;4.84;286;0;64.00;6
31;0;627766984;31;148;318;324;8.01;0.49;37.81;4.83;287;0;65.00;6
31;0;627766988;31;148;318;324;8.02;0.49;37.81;4.83;287;0;66.00;6
31;0;627766993;31;140;318;324;8.06;0.49;37.81;4.83;287;0;67.00;6
33;0;627766997;33;138;318;324;8.09;0.49;39.64;4.83;285;0;68.00;6
33;0;627767001;33;134;318;324;8.20;0.50;39.64;4.83;285;0;69.00;6
33;0;627767005;33;130;318;324;8.32;0.51;39.64;4.83;285;0;70.00;6
35;0;627767018;35;127;318;324;8.39;0.51;41.29;4.83;283;0;71.00;6
35;0;627767022;35;133;356;394;8.58;0.53;41.29;4.31;321;0;72.00;38
37;0;627767033;37;125;357;395;8.75;0.54;42.43;4.30;320;0;73.00;38
37;0;627767045;37;118;363;395;9.14;0.56;42.43;4.26;326;0;74.00;32
38;0;627767050;38;115;368;395;9.47;0.58;43.11;4.25;330;0;75.00;27
38;0;627767055;38;114;373;395;9.77;0.60;43.11;4.24;335;0;76.00;22
38;0;627767060;38;112;376;395;9.90;0.60;43.11;4.25;338;0;77.00;19
38;1;627767064;38;110;378;395;9.94;0.61;43.11;4.26;340;1;78.00;17
39;1;627767097;39;108;378;395;9.87;0.60;44.03;4.26;339;1;79.00;17
39;1;627767117;39;107;380;396;9.88;0.60;44.03;4.26;341;1;80.00;16
40;1;627767123;40;109;381;397;9.87;0.60;44.52;4.25;341;1;81.00;16
40;1;627767128;40;108;382;397;9.81;0.60;44.52;4.26;342;1;82.00;15
40;1;627767152;40;114;386;401;9.60;0.58;44.52;4.23;346;1;83.00;15
40;1;627767157;40;116;386;401;9.62;0.59;44.52;4.23;346;1;84.00;15
40;1;627767163;40;118;386;401;9.68;0.59;44.52;4.23;346;1;85.00;15
41;1;627767168;41;118;386;401;9.70;0.59;45.54;4.23;345;1;86.00;15
43;1;627767173;43;120;390;407;9.65;0.59;47.44;4.20;347;1;87.00;17
43;1;627767180;43;122;390;407;9.60;0.59;47.44;4.20;347;1;88.00;17
45;1;627767185;45;124;391;407;9.65;0.59;49.20;4.19;346;1;89.00;16
46;1;627767199;46;126;394;413;9.64;0.58;49.96;4.16;348;1;90.00;19
47;1;627767204;47;129;395;413;9.64;0.58;50.83;4.15;348;1;91.00;18
49;1;627767209;49;133;395;413;9.51;0.58;52.51;4.15;346;1;92.00;18
51;1;627767214;51;133;397;414;9.43;0.57;54.10;4.14;346;1;93.00;17
54;1;627767219;54;133;398;415;9.42;0.57;56.22;4.14;344;1;94.00;17
56;1;627767225;56;133;399;415;9.37;0.57;57.55;4.14;343;1;95.00;16
58;1;627767229;58;136;409;428;9.33;0.57;57.28;4.04;351;1;96.00;19
58;1;627767236;58;135;410;428;9.38;0.57;57.28;4.03;352;1;97.00;18
58;1;627767240;58;136;410;428;9.42;0.57;57.28;4.03;352;1;98.00;18
59;1;627767245;59;135;411;429;9.49;0.58;57.98;4.02;352;1;99.00;18
60;1;627767253;60;129;411;429;9.53;0.58;58.57;4.02;351;1;100.00;18
61;1;627767264;61;127;413;433;9.66;0.59;59.26;4.00;352;1;101.00;20
62;1;627767270;62;120;413;433;9.75;0.59;59.95;4.00;351;1;102.00;20
65;1;627767275;65;119;418;437;9.73;0.59;61.77;3.97;353;1;103.00;19
67;1;627767281;67;112;418;437;9.80;0.59;63.01;3.97;351;1;104.00;19
67;1;627767285;67;108;418;437;9.95;0.60;63.01;3.97;351;1;105.00;19
67;1;627767291;67;99;418;437;10.17;0.62;63.01;3.97;351;1;106.00;19
68;1;627767297;68;92;418;437;10.21;0.62;63.66;3.97;350;1;107.00;19
68;1;627767303;68;89;429;449;10.32;0.63;63.66;3.87;361;1;108.00;20
69;1;627767309;69;81;430;449;10.37;0.63;64.32;3.87;361;1;109.00;19
